Month,Name,Ranking,Visible
,Elasticsearch,148.402,Yes
,Elasticsearch,150.252,Yes
,Elasticsearch,151.438,Yes
,Elasticsearch,152.159,Yes
,Elasticsearch,149.174,Yes
,Elasticsearch,148.912,Yes
,Elasticsearch,149.128,Yes
,Elasticsearch,149.685,Yes
,Elasticsearch,151.586,Yes
,Elasticsearch,152.319,Yes
,Elasticsearch,150.499,Yes
,Elasticsearch,153.844,Yes
,Elasticsearch,151.552,Yes
,Elasticsearch,152.49,Yes
,Elasticsearch,151.252,Yes
,Elasticsearch,151.0,Yes
,Elasticsearch,152.34,Yes
,Elasticsearch,152.178,Yes
,Elasticsearch,155.354,Yes
,Elasticsearch,154.708,Yes
,Elasticsearch,155.758,Yes
,Elasticsearch,157.081,Yes
,Elasticsearch,160.238,Yes
,Elasticsearch,158.253,Yes
,Elasticsearch,159.089,Yes
,Elasticsearch,157.725,Yes
,Elasticsearch,160.754,Yes
,Elasticsearch,162.294,Yes
,Elasticsearch,159.948,Yes
,Elasticsearch,160.834,Yes
,Elasticsearch,157.692,Yes
,Elasticsearch,155.997,Yes
,Elasticsearch,154.328,Yes
,Elasticsearch,155.076,Yes
,Elasticsearch,151.438,Yes
,Elasticsearch,151.067,Yes
,IBM Db2,180.7,Yes
,IBM Db2,164.328,Yes
,IBM Db2,153.667,Yes
,IBM Db2,162.053,Yes
,IBM Db2,159.333,Yes
,IBM Db2,155.02,Yes
,IBM Db2,159.848,Yes
,IBM Db2,177.04,Yes
,IBM Db2,168.433,Yes
,IBM Db2,162.938,Yes
,IBM Db2,172.249,Yes
,IBM Db2,175.828,Yes
,IBM Db2,165.899,Yes
,IBM Db2,190.612,Yes
,IBM Db2,188.314,Yes
,IBM Db2,188.463,Yes
,IBM Db2,187.323,Yes
,IBM Db2,184.581,Yes
,IBM Db2,186.473,Yes
,IBM Db2,198.029,Yes
,IBM Db2,202.011,Yes
